month,year,radio,mobile,total,percentage
Jun,2017,Fisherton CNN,486,759,64.03
Jun,2017,Frecuencia Patagonia,15846,18834,84.14
Jun,2017,Frecuencia Zero,2826,5160,54.77
Jun,2017,Fun,327,621,52.66
Jun,2017,Futurock FM,25491,52248,48.79
Jun,2017,Galena,1020,2331,43.76
Jun,2017,Gen,7683,11961,64.23
Jun,2017,General Belgrano AM 840,9,48,18.75
Jun,2017,Güemes - La Futbolera,5232,7845,66.69
Jun,2017,Hot 94,270,573,47.12
Jun,2017,Impacto,162,222,72.97
Jun,2017,Keops,1059,1320,80.23
Jun,2017,LA BOCA,555,954,58.18
Jun,2017,LARZ,3771,6825,55.25
Jun,2017,LT 9,3447,5820,59.23
Jun,2017,LT10 Radio Universidad Nacional del Litoral,699,1140,61.32
Jun,2017,LT3 Rosario,1542,2076,74.28
Jun,2017,LT7 Corrientes,327,714,45.80
Jun,2017,LT8 Rosario,4578,7131,64.20
Jun,2017,LU 19 - Río Negro,57,90,63.33
Jun,2017,LU14,5718,10527,54.32
Jun,2017,LU20 Radio Chubut,501,798,62.78
Jun,2017,LU5,78,129,60.47
Jun,2017,LV12,381,504,75.60
Jun,2017,LV16 - Río Cuarto - Córdoba,15,21,71.43
Jun,2017,LV28 Villa Maria,402,567,70.90
Jun,2017,La 2x4,2271,4074,55.74
Jun,2017,La Brújula 24 FM,25491,40932,62.28
Jun,2017,La Carretera (Allen),804,1014,79.29
Jun,2017,La Colectiva,390,723,53.94
Jun,2017,La Imposible,13734,24009,57.20
Jun,2017,La Mega,786,1683,46.70
Jun,2017,La Once Diez,28011,50562,55.40
Jun,2017,La Otra,141,264,53.41
Jun,2017,La Radio,87,135,64.44
Jun,2017,La Radio Ramallo,78,156,50.00
Jun,2017,La Red,64320,118716,54.18
Jun,2017,La Red Neuquén,663,1356,48.89
Jun,2017,La Red Rosario,51,66,77.27
Jun,2017,La Redonda,174,219,79.45
Jun,2017,La Retaguardia,747,1557,47.98
Jun,2017,La Rocker,279,330,84.55
Jun,2017,La Romantica,1596,2241,71.22
Jun,2017,La Súper,4653,6966,66.80
Jun,2017,La X,69,111,62.16
Jun,2017,La cien punto uno,4554,6828,66.70
Jun,2017,La plata,915,1404,65.17
Jun,2017,LaBici,984,1635,60.18
Jun,2017,Lacatorce10,1284,4878,26.32
Jun,2017,Las voces del muro,117,231,50.65
Jun,2017,Late,45084,64536,69.86
Jun,2017,Led,2337,4533,51.56
Jun,2017,Lexia,15,30,50.00
Jun,2017,Libertad,87,165,52.73
Jun,2017,Los 40,3120,5397,57.81
Jun,2017,Los 40 principales España,96,171,56.14
Jun,2017,MEGA 98.3 SANTA FE,54,69,78.26
Jun,2017,Madre,612,927,66.02
Jun,2017,Maxima FM,354,480,73.75
Jun,2017,Medios del Aire,3,9,33.33
Jun,2017,Megafon - Universidad Nacional de Lanús,9378,16521,56.76
Jun,2017,Metro 95.1,60354,114051,52.92
Jun,2017,Mi Ituzaingó - Radio Pública del Oeste,69,114,60.53
Jun,2017,Milenium,9975,17286,57.71
Jun,2017,Mágica,138,237,58.23
Jun,2017,Nacional - AM 870,25671,40212,63.84
Jun,2017,Nacional Córdoba,528,942,56.05
Jun,2017,Nacional Esquel,108,174,62.07
Jun,2017,Nacional Neuquén,315,402,78.36
Jun,2017,Nacional Rock,3342,5829,57.33
Jun,2017,Nacional Rosario,54,69,78.26
Jun,2017,Nacional Santa Fé,282,480,58.75
Jun,2017,Nuestra Radio,14925,24012,62.16
Jun,2017,Océano Uruguay,3444,9384,36.70
Jun,2017,Om,102,156,65.38
Jun,2017,Onda Cero,6,18,33.33
Jun,2017,Onda La Superestación 107.9 Caracas,165,264,62.50
Jun,2017,Orfeo FM,816,1440,56.67
Jun,2017,Oriental,90,150,60.00
Jun,2017,Orión,459,1302,35.25
Jun,2017,Palermo,1695,2310,73.38
Jun,2017,Palermo RPLM 94.7,10452,20580,50.79
Jun,2017,Panorama,18,39,46.15
Jun,2017,Paraíso 42,186,258,72.09
Jun,2017,Patagonia Pop,108,183,59.02
Jun,2017,Planeta Cabezón,324,618,52.43
Jun,2017,Play FM Córdoba,144,240,60.00
Jun,2017,Provincia,561,951,58.99
Jun,2017,Pulxo 95.1,618,924,66.88
Jun,2017,Punto Cero,858,1503,57.09
Jun,2017,RADIO NEF,26175,48321,54.17
Jun,2017,RCR 750 AM,615,834,73.74
Jun,2017,RLV La Voz,2304,3891,59.21
Jun,2017,RTN Radio FM 104.9,141,192,73.44
Jun,2017,Radio 2,765,936,81.73
Jun,2017,Radio Activa,2850,4704,60.59
Jun,2017,Radio Argentina,1305,2079,62.77
Jun,2017,Radio Arroba,0,6,0.00
